accession	order	checkm2_completeness	checkm2_contamination
GB_GCA_035542115.1	Methanomicrobiales	86.08	6.22
GB_GCA_021654395.1	Micrarchaeales	94.41	0.24
RS_GCF_000328665.1	Methanosarcinales	99.99	0.31
GB_GCA_036566445.1	Nitrososphaerales	88.96	0.18
GB_GCA_938091495.1	Nitrososphaerales	96.6	1.71
RS_GCF_900110215.1	Halobacteriales	100.0	4.1
GB_GCA_039630105.1	Sulfolobales	90.02	0.71
GB_GCA_013538675.1	Nitrososphaerales	91.3	0.0
RS_GCF_000337675.1	Halobacteriales	99.81	1.67
GB_GCA_035656275.1	UBA184	96.29	0.74
GB_GCA_035935095.1	Nitrososphaerales	92.75	6.94
RS_GCF_000632495.1	Sulfolobales	99.83	0.96
GB_GCA_001560915.1	Methanomassiliicoccales	99.9	0.35
RS_GCF_030848565.1	Halobacteriales	99.95	3.94
RS_GCF_001541925.1	Nitrososphaerales	99.6	0.0
GB_GCA_038851755.1	Hadarchaeales	93.04	0.04
GB_GCA_003056285.1	Caldarchaeales	96.86	0.45
GB_GCA_004332335.1	Methanomicrobiales	92.74	0.78
GB_GCA_022865445.1	UBA10834	84.11	5.74
GB_GCA_041499475.1	DTKX01	85.5	3.08
RS_GCF_002214565.1	Thermococcales	99.9	0.1
RS_GCF_002156965.1	Nitrososphaerales	98.88	0.01
GB_GCA_024167805.1	Methanobacteriales	93.94	2.16
GB_GCA_028715885.1	Methanosarcinales	95.33	1.32
GB_GCA_013306035.1	Nitrososphaerales	92.59	0.75
RS_GCF_900316895.1	Methanobacteriales	91.24	1.43
GB_GCA_014523525.1	Nitrososphaerales	88.28	1.82
GB_GCA_002495685.1	Methanobacteriales	99.6	0.08
GB_GCA_038882975.1	Bathyarchaeales	94.68	2.92
GB_GCA_037447235.1	Anstonellales	91.17	0.0
RS_GCF_037914945.1	Halobacteriales	99.46	1.21
RS_GCF_003431325.1	Sulfolobales	99.94	0.43
RS_GCF_023566055.1	Halobacteriales	99.98	3.31
RS_GCF_031624605.1	Halobacteriales	100.0	6.56
RS_GCF_900114455.1	Halobacteriales	99.99	3.45
GB_GCA_032906765.1	Nitrososphaerales	95.59	3.73
GB_GCA_015063285.1	Methanomassiliicoccales	96.73	0.31
GB_GCA_022750155.1	UBA184	93.7	1.82
RS_GCF_024362405.1	Halobacteriales	99.88	5.98
GB_GCA_028279595.1	JAKEGO01	85.96	0.2
RS_GCF_008709555.1	Thermoplasmatales	99.8	0.21
GB_GCA_025457865.1	EX4484-6	89.47	1.86
GB_GCA_031277345.1	Bathyarchaeales	91.18	1.17
GB_GCA_028700095.1	Methanobacteriales	89.41	0.52
RS_GCF_002067035.1	Methanomicrobiales	98.26	0.6
RS_GCF_039641995.1	Archaeoglobales	99.98	0.33
GB_GCA_040405695.1	Halobacteriales	81.14	0.33
RS_GCF_002252985.1	Halobacteriales	94.94	0.35
GB_GCA_036396715.1	Nitrososphaerales	96.64	1.48
GB_GCA_009780575.1	Methanomassiliicoccales	94.87	0.39
GB_GCA_026014595.1	Bathyarchaeales	89.39	1.91
GB_GCA_029856045.1	Sigynarchaeales	100.0	3.53
GB_GCA_003151735.1	Bathyarchaeales	97.76	5.36
RS_GCF_034480035.2	Methanobacteriales	99.99	1.12
GB_GCA_021826685.1	UBA184	90.23	0.41
GB_GCA_036815945.1	Nitrososphaerales	99.59	1.91
GB_GCA_016782225.1	Nitrososphaerales	99.82	3.15
GB_GCA_015521615.1	Hydrothermarchaeales	93.71	2.54
RS_GCF_000725425.1	Thermococcales	99.87	0.22
GB_GCA_025060975.1	Culexarchaeales	91.62	2.22
GB_GCA_002010215.1	Archaeoglobales	94.5	0.09
RS_GCF_003675875.1	Halobacteriales	99.93	2.49
RS_GCF_000970325.1	Methanosarcinales	99.99	0.83
GB_GCA_024464205.1	Methanomethylicales	78.49	0.41
GB_GCA_026552955.1	Methanosarcinales	95.01	1.2
RS_GCF_002208625.1	Methanobacteriales	99.95	0.1
GB_GCA_027012045.1	Sulfolobales	77.69	1.35
GB_GCA_002494495.1	Methanobacteriales	98.98	0.01
