accession	phylum	checkm2_completeness	checkm2_contamination
RS_GCF_010645065.1	Bacteroidota	99.98	2.26
GB_GCA_934196075.1	Bacillota	88.54	0.15
GB_GCA_030430655.1	Chlamydiota	88.92	1.18
GB_GCA_036380955.1	Chloroflexota	92.33	7.07
GB_GCA_023268935.1	Pseudomonadota	89.33	2.22
GB_GCA_029101005.1	Bacillota	99.62	0.44
GB_GCA_036676335.1	Pseudomonadota	99.99	0.14
GB_GCA_030950585.1	Pseudomonadota	99.04	0.06
GB_GCA_018646675.1	Bdellovibrionota	94.42	1.36
GB_GCA_003862155.1	Bacillota	100.0	0.07
GB_GCA_021805865.1	Pseudomonadota	98.75	0.09
GB_GCA_017528675.1	Bacillota	83.04	1.24
GB_GCA_031279555.1	Spirochaetota	92.87	0.09
RS_GCF_004570605.1	Bacillota	99.62	0.15
RS_GCF_031457235.1	Pseudomonadota	100.0	1.36
RS_GCF_007126775.1	Bacteroidota	91.71	0.04
GB_GCA_040756875.1	JAAXVQ01	100.0	0.09
GB_GCA_028868735.1	Pseudomonadota	93.18	1.77
GB_GCA_944390275.1	Pseudomonadota	99.41	0.13
GB_GCA_001899285.1	Pseudomonadota	100.0	0.62
RS_GCF_040957575.1	Pseudomonadota	100.0	0.34
RS_GCF_964229035.1	Actinomycetota	93.3	3.23
RS_GCF_964019755.1	Bacillota	97.43	0.33
RS_GCF_000019185.1	Pseudomonadota	100.0	0.62
GB_GCA_034420635.1	Chloroflexota	95.07	2.84
RS_GCF_000657795.2	Pseudomonadota	100.0	0.14
RS_GCF_033052795.2	Pseudomonadota	100.0	0.06
RS_GCF_009856625.1	Pseudomonadota	100.0	0.08
RS_GCF_016863255.1	Actinomycetota	98.55	0.14
GB_GCA_018613055.1	Bacillota	100.0	0.03
RS_GCF_002245655.1	Pseudomonadota	100.0	0.68
RS_GCF_006489205.2	Actinomycetota	99.98	0.66
RS_GCF_000176175.1	Pseudomonadota	99.99	0.09
RS_GCF_030161575.1	Actinomycetota	92.98	3.28
GB_GCA_041659285.1	Acidobacteriota	100.0	3.13
GB_GCA_905193085.1	Bacillota	92.74	4.31
GB_GCA_023418505.1	Actinomycetota	99.85	0.59
RS_GCF_013912005.1	Pseudomonadota	100.0	0.48
GB_GCA_015490835.1	Bacteroidota	93.96	1.0
GB_GCA_018821925.1	Edwardsbacteria	99.39	0.15
GB_GCA_001464235.1	Pseudomonadota	89.47	0.58
GB_GCA_904398655.1	Bacillota	92.93	1.12
GB_GCA_036960485.1	Pseudomonadota	94.32	4.05
GB_GCA_040274725.1	Bacillota	99.99	3.35
GB_GCA_934444735.1	Bacillota	98.42	0.31
GB_GCA_018713145.1	Bacillota	80.68	0.1
GB_GCA_013177895.1	Spirochaetota	95.06	0.18
GB_GCA_027036735.1	Aquificota	95.65	1.87
